TICKER,Sector,MOM,vol_volatility_1m,volatility_1m,pe,circ_mv,dv_ratio,Portfolio Weight,Min TE,MVO,Benchmark Weight
601888.SH,酒店旅游,1,2,3,3,3,1,0.0000%,0.0000%,0.0000%,0.5330%
601878.SH,NaN,1,3,3,2,1,2,0.0000%,0.0000%,0.0000%,0.1010%
601611.SH,NaN,2,2,3,2,1,1,0.0000%,0.0000%,0.0000%,0.0540%
601877.SH,发电设备,2,1,2,2,2,3,0.0000%,0.0000%,0.0000%,0.2200%
601618.SH,建筑建材,2,3,1,1,3,2,0.0000%,0.0000%,0.0000%,0.2090%
601628.SH,金融行业,3,2,2,2,3,2,0.0000%,0.0000%,0.0000%,0.3800%
601633.SH,汽车制造,3,3,3,1,2,3,0.0000%,0.0000%,0.0000%,0.0800%
601668.SH,建筑建材,3,3,2,1,3,3,0.0000%,0.0000%,0.0000%,1.2860%
601669.SH,建筑建材,2,2,1,1,3,2,0.0000%,0.0000%,0.0000%,0.3060%
601688.SH,金融行业,3,3,2,2,3,2,0.0000%,0.0000%,0.0000%,0.6260%
601727.SH,发电设备,2,1,1,3,3,2,0.0000%,0.0000%,0.0000%,0.1740%
601766.SH,交通运输,1,3,1,2,3,2,0.0000%,0.0000%,0.0000%,0.8320%
601788.SH,金融行业,1,2,3,2,2,2,0.0000%,0.0000%,0.0000%,0.1810%
601800.SH,建筑建材,1,2,1,1,3,2,0.0000%,0.0000%,0.0000%,0.2500%
601808.SH,石油行业,2,1,2,3,2,1,0.0000%,0.0000%,0.0000%,0.0510%
601818.SH,金融行业,2,3,1,1,3,3,0.0000%,0.0000%,0.0000%,0.6520%
601828.SH,NaN,3,1,2,1,1,3,0.0000%,0.0000%,0.0000%,0.0350%
601838.SH,NaN,1,2,1,1,1,3,0.0000%,0.0000%,0.0000%,0.0310%
601857.SH,石油行业,2,2,1,3,3,2,3.6977%,1.8262%,0.0000%,0.5930%
600887.SH,食品行业,2,3,1,2,3,3,0.0000%,0.0000%,0.0000%,1.4710%
600031.SH,机械行业,3,3,1,3,3,2,0.0000%,0.0000%,0.0000%,0.4980%
600900.SH,电力行业,3,2,1,2,3,3,0.0000%,0.0000%,0.0000%,1.0860%
000408.SZ,商业百货,1,1,2,2,1,2,0.0000%,0.0000%,0.0000%,0.0630%
000415.SZ,金融行业,1,2,3,1,1,2,0.0000%,0.0000%,0.0000%,0.0630%
000423.SZ,生物制药,3,1,2,1,2,2,0.0000%,0.0000%,0.0000%,0.1880%
000425.SZ,机械行业,2,3,1,2,1,1,0.0000%,0.0000%,0.0000%,0.1530%
000503.SZ,电子信息,1,2,3,3,1,2,0.0000%,0.0000%,0.0000%,0.1000%
000538.SZ,生物制药,3,1,2,2,3,2,0.0000%,0.0000%,0.0000%,0.4050%
000553.SZ,农药化肥,2,1,3,2,1,1,0.0000%,0.0000%,0.0000%,0.0250%
000568.SZ,酿酒行业,3,2,3,2,3,3,0.0000%,0.0000%,0.0000%,0.3130%
000625.SZ,汽车制造,2,3,3,1,2,3,4.2332%,0.0000%,0.0000%,0.1470%
000627.SZ,化工行业,2,1,1,2,1,1,0.0000%,0.0000%,0.0000%,0.0820%
000630.SZ,有色金属,2,3,1,3,1,1,0.0000%,0.0000%,0.0000%,0.1250%
000651.SZ,家电行业,3,3,2,1,3,1,0.0000%,0.0000%,0.0000%,2.0120%
000661.SZ,生物制药,2,1,3,3,2,1,0.0000%,0.0000%,0.0000%,0.2530%
000671.SZ,房地产,3,2,2,1,1,1,0.0000%,0.0000%,0.0000%,0.0910%
000703.SZ,化纤行业,3,2,2,2,2,1,0.0000%,0.0000%,0.0000%,0.1700%
000709.SZ,钢铁行业,2,2,1,2,2,3,0.0000%,0.0000%,0.0000%,0.1310%
