"","benchmark","金融行业","房地产","综合行业","电力行业","机械行业","有色金属","农林牧渔","电子信息","酒店旅游","家电行业","传媒娱乐","汽车制造","发电设备","水泥行业","商业百货","电子器件","生物制药","农药化肥","酿酒行业","环保行业","化工行业","钢铁行业","化纤行业","煤炭行业","飞机制造","建筑建材","食品行业","次新股","NaN","仪器仪表","服装鞋类","家具行业","交通运输","其它行业","印刷包装","船舶制造","医疗器械","石油行业","物资外贸","塑料制品","玻璃行业","公路桥梁","电器行业","开发区","供水供气","MOM","vol_volatility_1m","volatility_1m","pe","circ_mv","dv_ratio","shibor_1m","shibor_6m","libor_1m","libor_6m","shibor_lpr_1y"
"家电行业",5.31288854235957e-20,0.00147935565719762,-0.0311287482197676,0.000732020606029084,0.000813696098404072,0.000900554725071739,0.000232055233906092,6.52013586228789e-05,0.000797947517639235,0.000309747703685778,0.00207923881804881,0.000780931202279902,0.000712547246888377,0.00044731307747051,0.00103940351238735,0.000941354578837163,0.000614902062274009,0.00111233284504121,0.000238422248596096,0.000484338988013683,-0.000232275314638275,0.000346431148680577,0.00064194677650616,0.000926589065801191,0.000493763930369692,0.000109941134331557,0.00120788519883716,8.86518837037249e-05,0,0.00179605076571571,0.000641492863791477,0.00066046336524595,0.000178185589717951,0.000919521688723619,0.000696469636902696,0.000624172004048425,0.000916141312508313,0.000650309129851683,0.000792733256558889,0.000397944428405449,0.000626460389061368,0.00147050479987777,0.00207498197187365,0.000124925258675307,0.000559928752916164,0.000634165701907754,1.36866526697929e-18,-8.03339192337713e-19,-2.93484710402576e-18,-1.95171061586255e-18,-1.06584829649389e-18,-2.24714823800332e-18,-3.97196234820993e-17,7.65671987112773e-17,-2.1521311506802e-16,2.03834554948402e-16,-6.32201972805267e-19
"传媒娱乐",5.7603175456947e-21,0.000293747443892128,-0.0239112316291201,0.000792916582169901,0.000652875005485221,0.000487216778300574,-0.0001740516263089,-5.60519434298759e-05,0.000994723848135578,-1.53202891145087e-05,0.000780931202279902,0.00191102403509874,0.000615892454998411,0.000585466550687398,0.00065750846098276,0.000575488270026073,0.000598813043998111,0.000550979244375624,9.3878453739846e-05,0.000566929721618285,0.000394138884251371,0.000363833788893888,0.000321441049180588,0.000778560145231976,0.000355625065902021,-0.000148402362598083,0.00070340654381815,0.000191980793529418,0,0.00131600900684897,0.00116509884167184,0.000629748298073155,0.000627359677968897,0.000690388194419376,0.000587385029993289,2.24459327326182e-05,0.000940357309236322,0.000162575592513867,0.000620651106678561,-0.000263530992649146,0.000400722980567926,0.00116287841732441,0.00138413579025681,0.000616653937173325,0.000221435009946428,0.000753366351218836,3.71879317308226e-19,-1.18690671190142e-18,-2.28919831494271e-18,-1.40172422714048e-18,-1.07275287120694e-19,-1.8338614929916e-18,-1.75474781938146e-17,5.00161568862032e-17,-1.61251860282109e-16,1.559200532499e-16,-2.06572044301038e-18
"汽车制造",-2.23938611533522e-20,0.000742990199587923,-0.0266297540522985,0.000996372028038629,0.000938858817827187,0.000684053734733858,0.00050095004039174,3.45941309135253e-05,0.00102512550426363,0.000418725212672761,0.000712547246888377,0.000615892454998411,0.000940057204504623,0.000542055752353975,0.000701187732806368,0.00064198695855104,0.000827014624026227,0.000983901108607022,0.000529086522606094,0.00063052785145684,-0.000441834879749667,0.000400106356145662,0.000276474707685409,0.00100158602061519,0.000577960709154381,0.000386700392138859,0.000807970627811795,0.000172824406002085,0,0.000582199616503747,0.000637282204114994,0.000727532558765871,-3.84393496685541e-05,0.000633938831213748,0.000651842557384441,0.000140328413031184,0.00080606213384386,0.000266610261572214,0.000760997148028556,0.000321661568572316,0.000856886378676203,0.00118024802927581,0.00172363404512445,0.000361924525625157,0.000574784659578934,0.000794545005623676,6.30249934338472e-19,-9.82344202918378e-19,-2.10485611472758e-18,-1.68950960406328e-18,-1.03614320847384e-18,-1.84673161870577e-18,-2.39613684772303e-17,5.83553551301845e-17,-1.86669171797149e-16,1.80990312859251e-16,-1.94488400292223e-19
"发电设备",2.33669830639793e-20,0.000423581585289672,-0.022135704895944,0.000824063908378333,0.0010221072857382,0.000293640253600907,0.000343211991123186,-5.77760692614386e-05,0.000725795254484027,0.000276786434434822,0.00044731307747051,0.000585466550687398,0.000542055752353975,0.00138788315443906,0.000755135316873238,0.000535773685089059,0.00041685847955885,0.000776246003902793,0.00104613065133455,0.000687807061492963,0.000388635141588254,-6.93385527665673e-05,0.000125951006736512,0.000883560484273451,0.000399461081741929,0.000232591100652614,0.000704368805750406,6.52602644145958e-06,0,0.000688097623921413,0.000598480382085678,0.000516066903777474,0.000244927024436852,0.000665949630211117,0.000446632075771961,0.000265558384586803,0.000429075238378502,0.000149914860433623,0.000436553493920519,-4.64143546240584e-05,0.000613676698768862,0.000912110594296731,0.00145747033258029,0.000313253859204135,0.000333757340085434,0.00040675933670051,4.97238398940534e-19,-6.19156184904455e-19,-1.8723934305857e-18,-1.40291716178389e-18,-8.10887341607353e-19,-1.55171927101649e-18,-1.69231081352891e-17,4.14541325079973e-17,-1.3781117368707e-16,1.30673922657393e-16,-3.68946084384076e-18
"水泥行业",7.67791848573797e-20,0.00101600211228362,-0.0313671308777388,0.000930478842266857,0.00109634831036692,0.000680088917156239,0.000660762646287549,6.62213955481829e-05,0.000959881577667592,0.000399115091756573,0.00103940351238735,0.00065750846098276,0.000701187732806368,0.000755135316873238,0.00233103786793221,0.0007833548946599,0.0010448860606147,0.00141696979666633,9.65599915377691e-05,0.000634273637857639,-0.000516775170683265,0.00016123543926207,0.000233509673617786,0.00147191904897124,0.000634376457598363,0.000656277911214553,0.00117295287402245,0.000115189372212502,0,-6.51212453311661e-05,0.000908154614405169,0.000824632576687959,-0.000233347580399255,0.000662727203733877,0.000982162360946046,0.00041045546720641,0.000762823158108404,0.000596030219578977,0.000861982031188101,0.000298137732108007,0.000978081645253706,0.00159239662208022,0.00167204074129796,0.000123755356868238,0.000910919722053663,0.000883398480085014,4.88592875418254e-19,-1.19618122916949e-18,-1.77609825107612e-18,-2.00914487823441e-18,-1.45998645524548e-18,-2.2176524915208e-18,-4.29846833578979e-17,6.88887418571407e-17,-2.07432824036712e-16,1.93541364363413e-16,-8.12332860757805e-19
"商业百货",2.88323195912314e-20,0.0007200056666972,-0.0253919168828709,0.000785821033375153,0.000823111934144874,0.000654414422696502,0.000375031923978348,3.01950078208292e-05,0.000799453940630726,0.000163983829891689,0.000941354578837163,0.000575488270026073,0.00064198695855104,0.000535773685089059,0.0007833548946599,0.000894047747486865,0.000535515639183395,0.000742201942982922,0.000461024352079781,0.000526586104117129,-3.61270966932053e-06,0.000177606828572382,0.000367360785546081,0.000825803983209314,0.000485663087019507,0.000330505508918669,0.000817289470657651,0.00011773985167737,0,0.000832132259651459,0.000643257193670967,0.000591819067475965,0.000253420338745434,0.000710109530158293,0.000600845097491155,0.000266365582588055,0.000727834023006355,0.000645202886601323,0.000634940610080325,0.000245097661797339,0.000712566301682148,0.00124261377136454,0.00171553628357755,0.000296098219121079,0.000446196539440342,0.000720172778238217,9.04107848720044e-19,-6.9281619785199e-19,-2.14817225024851e-18,-1.61549977520794e-18,-1.00163799486416e-18,-1.74361962120468e-18,-2.71836695575547e-17,5.96540270620665e-17,-1.75774190363707e-16,1.6870713135721e-16,-1.17450449855719e-18
"电子器件",6.76424001713058e-20,0.000642221867913325,-0.0322418393734656,0.00119393105712245,0.00094296410440568,0.000568735649174863,6.37833730863943e-05,5.98179064587165e-06,0.00111780801199714,0.000496789480600298,0.000614902062274009,0.000598813043998111,0.000827014624026227,0.00041685847955885,0.0010448860606147,0.000535515639183395,0.00468022439228534,0.000157253801138708,-0.000847553945815025,0.000880973808508089,-9.43496393033948e-05,0.00100248255020554,9.67283007181402e-05,0.00170459172759988,0.000813057108726489,0.000591687805097448,0.000769507789146341,0.000203300920703682,0,0.000333682134339699,0.000637900246733474,0.000643921150158448,-0.000531117021074345,0.000751788315160878,0.000899555122312575,-0.000283432446598184,0.000754486600125104,0.0002329848380425,0.000394716993989986,0.000410001164359602,0.0013828560043051,0.00170240882002713,0.0027504818672336,0.00129666330786693,0.000753616702167759,0.00108321571070273,1.86752639800151e-18,-2.46063789001906e-18,-2.22244638171082e-18,-2.61350086721886e-18,1.71383298754675e-19,-2.46653055646276e-18,-4.05043115742253e-17,7.57380324166138e-17,-2.1870221874749e-16,2.16671769061479e-16,6.15859306559014e-18
"生物制药",-2.67735091066181e-20,0.0011334100785668,-0.0330718255987397,0.000749970427614452,0.00131019723803139,0.000920452735218235,0.000489093290106005,-5.7997985706161e-05,0.00101060618058806,0.000755390386651404,0.00111233284504121,0.000550979244375624,0.000983901108607022,0.000776246003902793,0.00141696979666633,0.000742201942982922,0.000157253801138708,0.00333403532909358,0.000412458417073468,0.000489607514385669,-0.000226043861248652,-4.51891564838484e-05,0.000738281246095961,0.00138173365512052,0.00074117558067668,0.000903340221211489,0.00118034479615015,0.000276978012445985,0,0.000729180497592986,0.00070995410245525,0.00115045494412785,-0.000168201617262482,0.000949861807018801,0.000947013107449043,0.000463965271762412,0.000674280375223721,0.000647286661602743,0.000921357564554987,0.000391879362333725,0.000404215111026913,0.00138641825197593,0.000817299617220203,0.00021130197968931,0.000640730268380354,0.000957099445282105,6.98239137867846e-19,-1.15419612095821e-18,-1.81661124417725e-18,-2.1652425522296e-18,-1.0318776991776e-18,-2.39699534272977e-18,-2.9724844668174e-17,6.72512297683519e-17,-2.07644707444178e-16,1.95298431025216e-16,-2.70661190609048e-18
"农药化肥",3.7802434393881e-21,0.000743489828243547,-0.0166263640074141,0.00106835798975913,0.000722470252833868,0.000372134990037338,-0.00122475962936854,-3.6821895556671e-05,0.000584765606374264,0.000648442212074333,0.000238422248596096,9.3878453739846e-05,0.000529086522606094,0.00104613065133455,9.65599915377691e-05,0.000461024352079781,-0.000847553945815025,0.000412458417073468,0.0081908030499825,5.20687680137969e-05,-0.000680142826084928,0.000316511239178142,-0.000371988861776788,0.000632486797361717,-0.00017890400557612,-0.000434038025669552,0.000589373108921005,6.55657147865432e-06,0,0.000488477493815953,6.10844345697726e-05,-0.000482455367910887,7.71393733077928e-05,0.000238642615913238,8.3100563790895e-05,0.000300216789057671,0.000612127677691846,-0.000430910218077274,3.56728712379327e-05,0.000286042520539828,0.00134873216677974,5.32085149257605e-05,0.000435569054243189,9.26153005003732e-05,0.000381092690380991,1.51956652690242e-05,-1.21035534750586e-18,7.17965853276094e-19,-1.64745894967471e-18,4.55110623103603e-19,-2.09503011591511e-18,-1.04911962010578e-18,-1.91355546043947e-17,7.50170853483301e-17,-2.21445437685809e-16,2.08545273950436e-16,-5.6019134117515e-18
"酿酒行业",2.90928674641752e-20,0.000655812825681961,-0.0242369856740119,0.00103372023118311,0.00072064688819614,2.71567813382154e-05,0.000219556311888189,3.16543992616563e-05,0.00111997726603585,0.00022179544306158,0.000484338988013683,0.000566929721618285,0.00063052785145684,0.000687807061492963,0.000634273637857639,0.000526586104117129,0.000880973808508089,0.000489607514385669,5.20687680137969e-05,0.00227722616526822,-0.000106736392331156,0.00070995851110963,7.09608185268374e-05,0.000917714235742492,0.000623214473691192,-0.000158595922922033,0.000821006758414736,-0.000247407951929202,0,0.000426533151517031,0.000547425088311671,0.000638819466377067,0.000224676173403748,0.000469495696747989,0.000469447986204902,4.66386912515315e-05,0.000914144728636717,8.0868879409032e-05,0.000371017336348062,-0.00016332648581958,0.000872693593355361,0.000564730911082543,0.00285776137516384,0.000171181797796361,0.00106654721056172,0.00078755577598244,9.00256944428329e-19,-8.22085852940199e-19,-2.75712641007805e-18,-1.63531162011923e-18,-1.28922205582912e-18,-1.6052476145759e-18,-2.6194331486039e-17,5.29909451211266e-17,-1.65617205076863e-16,1.59501336366591e-16,-1.31157567254267e-18
