,symbol,open,high,low,close,pct_chg,vol,benchmark,Sector,MOM,vol_volatility_1m,volatility_1m,pe,circ_mv,dv_ratio,shibor_1m,shibor_6m,libor_1m,libor_6m,shibor_lpr_1y,index
14045,601939.SH,5.9,5.94,5.82,5.85,-0.12969999999999998,1275619.18,-0.013616,金融行业,-0.79,1390627.8146869703,3.118900888133408,6.8135,5612289.6995,5.13,5.01,4.792,0.17125,0.3574,5.51,2015-01-30
4834,601958.SH,7.62,7.78,7.6,7.75,-0.09819999999999998,105208.61,-0.000749,有色金属,-0.4900000000000002,37244.151203148824,1.8268346257938206,463.9528,2500618.41,0.52,4.027,4.3978,1.24333,1.57511,4.3,2017-10-31
7684,601958.SH,7.65,7.7,7.6,7.65,-0.07940000000000001,51996.22,0.003735,有色金属,-0.16999999999999993,24741.391234895924,1.3548921543795405,726.1586,2468352.366,0.52,3.3059,3.2864,0.77167,1.31767,4.3,2016-12-30
3685,601958.SH,6.96,7.14,6.9,7.07,-0.02040000000000001,133769.72,-0.008706,有色金属,0.3700000000000001,56877.30865981667,3.25411812170352,423.2447,2281209.3108,0.44,4.0428,4.7287,1.67007,2.22375,4.3,2018-02-28
4553,601958.SH,7.3,7.42,7.17,7.23,-0.06629999999999998,102108.2,-0.011755,有色金属,0.07000000000000028,34055.094483533954,1.6768121540587764,432.8231,2332834.9812,0.44,4.072,4.703,1.37188,1.668,4.3,2017-11-30
12363,601958.SH,8.78,9.08,8.6,9.03,-0.2133,295662.53,0.000337,有色金属,-0.2599999999999998,184918.5325540493,6.166570582584712,151.576,2913623.7732,0.44,2.988,3.1758,0.19175,0.4899,4.8,2015-07-31
5332,601958.SH,8.92,9.28,8.74,9.11,0.08539999999999998,724321.97,-0.003184,有色金属,0.25,348866.5051045121,3.336733282718174,545.3691,2939436.6084,0.49,3.892,4.3884,1.23167,1.45389,4.3,2017-08-31
4138,601958.SH,7.22,7.25,7.13,7.23,0.0023999999999999968,143098.3,0.0029749999999999998,有色金属,0.3200000000000003,46812.696154749465,1.5193501077760834,432.8231,2332834.9812,0.49,4.9352,4.8823,1.56425,1.83707,4.3,2017-12-29
9358,601958.SH,8.17,8.18,8.05,8.15,-0.021199999999999997,112970.57,0.000803,有色金属,-0.019999999999999574,114737.22939764369,2.0757827439303966,773.62,2629682.586,0.49,2.887,2.9887,0.46505,0.92415,4.3,2016-06-30
968,601958.SH,5.93,6.01,5.88,5.97,-0.050488,63495.37,0.011166,有色金属,-0.3799999999999999,38255.94187554501,1.2056255409534244,179.5664,1926282.8268,1.71,2.701,3.279,2.34694,2.89463,4.31,2018-11-30
14497,601958.SH,9.26,9.43,9.19,9.37,0.016300000000000002,137796.03,0.022025000000000003,有色金属,-0.3100000000000005,120945.31483215303,2.9846698309862063,169.8284,3023328.3228,1.71,5.588,4.7442,0.17125,0.3628,5.51,2014-12-31
