trade_date,Ticker,Sct,Return
2017-09-29,600276.SH,生物制药,0.104400
2017-09-29,600297.SH,医疗器械,0.075700
2017-09-29,601555.SH,金融行业,-0.038700
2017-09-29,601601.SH,金融行业,-0.030600
2017-09-29,601607.SH,商业百货,0.019400
2017-09-29,601881.SH,NaN,-0.013000
2017-09-29,601888.SH,酒店旅游,0.147900
2017-09-29,601899.SH,有色金属,0.040100
2017-09-29,601901.SH,金融行业,-0.058300
2017-09-29,601919.SH,交通运输,-0.118400
2017-09-29,601933.SH,商业百货,0.164300
2017-09-29,601939.SH,金融行业,-0.001400
2017-09-29,601958.SH,有色金属,-0.052500
2017-09-29,601966.SH,NaN,-0.000900
2017-09-29,601985.SH,NaN,-0.033600
2017-09-29,601988.SH,金融行业,-0.025600
2017-09-29,601992.SH,水泥行业,-0.085500
2017-09-29,601997.SH,NaN,-0.068300
2017-09-29,601998.SH,金融行业,-0.035500
2017-09-29,601877.SH,发电设备,0.110400
2017-09-29,601872.SH,交通运输,-0.018900
2017-09-29,601866.SH,交通运输,-0.057900
2017-09-29,601669.SH,建筑建材,-0.018800
2017-09-29,601608.SH,机械行业,-0.021900
2017-09-29,601611.SH,NaN,-0.060100
2017-09-29,601618.SH,建筑建材,0.015700
2017-09-29,601628.SH,金融行业,-0.052500
2017-09-29,601668.SH,建筑建材,-0.072600
2017-09-29,601688.SH,金融行业,-0.013000
2017-09-29,601857.SH,石油行业,-0.006100
2017-09-29,601718.SH,服装鞋类,-0.056300
2017-09-29,601727.SH,发电设备,-0.031000
2017-09-29,601766.SH,交通运输,-0.020900
2017-09-29,601788.SH,金融行业,-0.024600
2017-09-29,601800.SH,建筑建材,-0.044900
2017-09-29,601818.SH,金融行业,-0.036000
2017-09-29,600115.SH,交通运输,-0.031300
2017-09-29,603160.SH,NaN,0.058400
2017-09-29,600109.SH,金融行业,-0.020000
2017-09-29,002508.SH,家电行业,0.076700
2017-09-29,002558.SH,酒店旅游,-0.033900
2017-09-29,002594.SH,汽车制造,0.358200
2017-09-29,002602.SH,汽车制造,-0.088900
2017-09-29,002673.SH,金融行业,-0.035100
2017-09-29,002714.SH,农林牧渔,-0.116300
2017-09-29,002736.SH,金融行业,-0.043200
2017-09-29,002797.SH,NaN,0.108300
2017-09-29,002831.SH,NaN,-0.070900
2017-09-29,002839.SH,NaN,-0.123200
2017-09-29,002841.SH,NaN,0.022300
2017-09-29,300017.SH,电子信息,0.076100
2017-09-29,300024.SH,机械行业,-0.047900
2017-09-29,300027.SH,传媒娱乐,-0.008000
2017-09-29,300033.SH,电子信息,0.041200
2017-09-29,002555.SH,汽车制造,0.033500
2017-09-29,002500.SH,金融行业,-0.077100
2017-09-29,300070.SH,环保行业,-0.050600
2017-09-29,002475.SH,电子器件,-0.011300
2017-09-29,002292.SH,传媒娱乐,-0.030400
2017-09-29,002299.SH,农林牧渔,-0.120000
2017-09-29,002304.SH,酿酒行业,0.131600
2017-09-29,002310.SH,建筑建材,0.124400
2017-09-29,002352.SH,其它行业,0.082800
2017-09-29,002385.SH,农林牧渔,-0.014000
2017-09-29,002411.SH,化工行业,-0.025700
2017-09-29,002415.SH,仪器仪表,-0.001800
2017-09-29,002424.SH,生物制药,0.029900
2017-09-29,002450.SH,化工行业,0.092200
2017-09-29,002456.SH,电子器件,-0.001200
2017-09-29,002465.SH,电子信息,0.028600
2017-09-29,002466.SH,化工行业,0.019100
2017-09-29,002470.SH,农药化肥,-0.013800
2017-09-29,300059.SH,电子信息,-0.065700
2017-09-29,000008.SH,综合行业,0.118500
2017-09-29,300072.SH,化工行业,-0.054700
2017-09-29,600028.SH,石油行业,-0.001200
2017-09-29,600030.SH,金融行业,-0.001600
2017-09-29,600031.SH,机械行业,-0.021700
2017-09-29,600036.SH,金融行业,-0.044700
2017-09-29,600037.SH,传媒娱乐,-0.012700
2017-09-29,600038.SH,飞机制造,0.041900
2017-09-29,600048.SH,房地产,0.015500
2017-09-29,600060.SH,家电行业,0.082600
2017-09-29,600061.SH,化纤行业,-0.012900
2017-09-29,600066.SH,汽车制造,0.172300
2017-09-29,600068.SH,建筑建材,-0.021900
2017-09-29,600085.SH,生物制药,0.005000
2017-09-29,600089.SH,发电设备,-0.017300
2017-09-29,600100.SH,电子信息,-0.123800
2017-09-29,600104.SH,汽车制造,0.016400
2017-09-29,600029.SH,交通运输,-0.056600
2017-09-29,600050.SH,电子信息,-0.077400
2017-09-29,600023.SH,电力行业,-0.022000
2017-09-29,600000.SH,金融行业,0.012700
2017-09-29,600021.SH,电力行业,-0.028800
2017-09-29,300124.SH,仪器仪表,0.093500
2017-09-29,300133.SH,传媒娱乐,-0.127200
2017-09-29,300144.SH,酒店旅游,-0.024600
2017-09-29,300168.SH,电子信息,-0.100700
2017-09-29,300251.SH,传媒娱乐,0.227300
2017-09-29,300315.SH,电子信息,-0.050400
2017-09-29,600008.SH,环保行业,-0.034800
2017-09-29,600010.SH,钢铁行业,-0.030400
2017-09-29,600015.SH,金融行业,-0.026600
2017-09-29,600016.SH,金融行业,-0.031300
